"","zipcode","unit_count_2012"
"1",10001,6173
"2",10002,21264
"3",10003,16419
"4",10004,55
"5",10005,1122
"6",10006,632
"7",10007,1204
"8",10009,26073
"9",10010,11311
"10",10011,13795
"11",10012,7656
"12",10013,8637
"13",10014,12198
"14",10016,20059
"15",10017,4555
"16",10018,3796
"17",10019,16802
"18",10021,13595
"19",10022,9210
"20",10023,15168
"21",10024,18982
"22",10025,25427
"23",10026,9290
"24",10027,20087
"25",10028,16084
"26",10029,22607
"27",10030,11329
"28",10031,17319
"29",10032,18109
"30",10033,16486
"31",10034,13477
"32",10035,11789
"33",10036,11598
"34",10037,6834
"35",10038,7730
"36",10039,8336
"37",10040,13261
"38",10044,1739
"39",10065,10171
"40",10069,1534
"41",10075,6908
"42",10128,17991
"43",10280,2129
"44",10282,1529
"45",10301,8334
"46",10302,2372
"47",10303,3166
"48",10304,6321
"49",10305,3956
"50",10306,4067
"51",10307,529
"52",10308,893
"53",10309,820
"54",10310,3055
"55",10312,1520
"56",10314,4118
"57",10451,13009
"58",10452,24536
"59",10453,30120
"60",10454,13564
"61",10455,12927
"62",10456,26899
"63",10457,22487
"64",10458,25205
"65",10459,12607
"66",10460,16533
"67",10461,12838
"68",10462,13654
"69",10463,15121
"70",10464,664
"71",10465,5799
"72",10466,16500
"73",10467,40207
"74",10468,21935
"75",10469,11878
"76",10470,3911
"77",10471,3254
"78",10472,19683
"79",10473,14256
"80",10474,3424
"81",10475,964
"82",11001,236
"83",11004,255
"84",11040,27
"85",11101,12511
"86",11102,12261
"87",11103,14362
"88",11104,8655
"89",11105,10562
"90",11106,14360
"91",11109,2646
"92",11201,13957
"93",11203,16570
"94",11204,16007
"95",11205,11088
"96",11206,23517
"97",11207,24038
"98",11208,20660
"99",11209,17215
"100",11210,12128
"101",11211,19052
"102",11212,27622
"103",11213,21149
"104",11214,21221
"105",11215,18061
"106",11216,20985
"107",11217,11041
"108",11218,15078
"109",11219,18910
"110",11220,19846
"111",11221,25886
"112",11222,14910
"113",11223,16822
"114",11224,9729
"115",11225,18955
"116",11226,31843
"117",11228,6800
"118",11229,13643
"119",11230,17473
"120",11231,12410
"121",11232,6593
"122",11233,23171
"123",11234,9071
"124",11235,15375
"125",11236,16569
"126",11237,14835
"127",11238,15742
"128",11239,7569
"129",11249,6914
"130",11354,9054
"131",11355,14113
"132",11356,2917
"133",11357,2088
"134",11358,4671
"135",11360,1333
"136",11361,3157
"137",11362,361
"138",11363,528
"139",11364,1446
"140",11365,5325
"141",11366,1427
"142",11367,3969
"143",11368,22421
"144",11369,4649
"145",11370,4809
"146",11372,12423
"147",11373,19960
"148",11374,7645
"149",11375,10254
"150",11377,19302
"151",11378,5304
"152",11379,5274
"153",11385,25023
"154",11411,907
"155",11412,3578
"156",11413,3342
"157",11414,1559
"158",11415,4395
"159",11416,4107
"160",11417,3820
"161",11418,6224
"162",11419,6209
"163",11420,4460
"164",11421,5568
"165",11422,2902
"166",11423,4052
"167",11426,985
"168",11427,2603
"169",11428,1674
"170",11429,2031
"171",11432,10587
"172",11433,5576
"173",11434,5781
"174",11435,10754
"175",11436,1982
"176",11691,14762
"177",11692,4009
"178",11693,1736
"179",11694,3087
"180",12345,21
